,carat,depth,table,x,y,z,cut,color,clarity,city,x/y,td,ad
0,0.79,62.7,60.0,5.82,5.89,3.67,3.0,5.0,3.0,1.0548122572291756,0.9881154499151105,0.9569377990430622,0.006279466495890614
1,1.2,61.0,57.0,6.81,6.89,4.18,5.0,1.0,5.0,1.0401381096245144,0.9883889695210449,0.9344262295081968,0.00611841076605348
2,1.57,62.2,61.0,7.38,7.32,4.57,4.0,3.0,3.0,1.0561070349589987,1.0081967213114753,0.9807073954983923,0.006359398051298972
3,0.9,63.8,54.0,6.09,6.13,3.9,3.0,5.0,3.0,1.0561070349589987,0.9934747145187602,0.8463949843260189,0.006181589125842937
4,0.5,62.9,58.0,5.05,5.09,3.19,3.0,5.0,5.0,1.0548122572291756,0.9921414538310412,0.9220985691573927,0.006097757665475917
5,1.01,61.3,61.0,6.38,6.34,3.9,4.0,5.0,4.0,1.0,1.0063091482649842,0.9951060358890702,0.006402459355793415
6,1.04,61.0,58.0,6.6,6.54,4.01,4.0,3.0,3.0,1.0051791109192922,1.0091743119266054,0.9508196721311475,0.0060085168415260634
7,0.91,63.1,61.0,6.1,6.16,3.87,2.0,7.0,3.0,1.0401381096245144,0.9902597402597402,0.9667194928684627,0.006257774080877398
8,1.13,62.2,55.0,6.69,6.67,4.15,5.0,2.0,4.0,1.0561070349589987,1.0029985007496252,0.8842443729903536,0.006102086997454321
9,1.61,62.9,56.0,7.52,7.46,4.71,5.0,5.0,4.0,1.0,1.0080428954423593,0.890302066772655,0.006093240230439232
10,1.06,60.2,59.0,6.62,6.67,4.0,3.0,2.0,3.0,1.0358221838584376,0.9925037481259371,0.9800664451827242,0.006001530956576093
11,0.3,62.5,58.0,4.29,4.26,2.67,4.0,7.0,4.0,1.0561070349589987,1.0070422535211268,0.928,0.006148130851406686
12,0.53,62.1,57.0,5.15,5.18,3.21,5.0,7.0,7.0,1.0561070349589987,0.9942084942084943,0.9178743961352657,0.006189190473738156
13,0.52,59.7,60.0,5.26,5.19,3.12,4.0,7.0,3.0,1.0360379801467414,1.0134874759152215,1.0050251256281406,0.006105140283913443
14,0.73,61.2,60.0,5.78,5.73,3.52,4.0,5.0,3.0,1.0358221838584376,1.0087260034904013,0.9803921568627451,0.0062617790067562695
15,0.42,62.1,56.0,4.78,4.82,2.98,5.0,7.0,5.0,1.0699179974104445,0.991701244813278,0.9017713365539453,0.006117276225083605
16,0.5,61.6,55.0,5.11,5.14,3.16,5.0,4.0,4.0,1.0401381096245144,0.9941634241245138,0.8928571428571428,0.006024193353280963
17,0.9,62.2,58.0,6.15,6.2,3.84,3.0,4.0,3.0,1.0401381096245144,0.9919354838709677,0.932475884244373,0.006146734854445318
18,1.02,59.7,58.0,6.53,6.57,3.91,3.0,3.0,2.0,1.0401381096245144,0.9939117199391172,0.9715242881072026,0.006080577995421933
19,0.31,61.6,56.0,4.34,4.36,2.68,5.0,5.0,7.0,1.048769961156668,0.9954128440366972,0.9090909090909091,0.006112947712290448
20,0.7,62.6,54.0,5.63,5.71,3.55,5.0,2.0,3.0,1.0388433318946915,0.9859894921190893,0.8626198083067093,0.006133737470691141
21,1.2,61.6,54.0,6.88,6.82,4.22,5.0,1.0,4.0,1.0561070349589987,1.0087976539589443,0.8766233766233766,0.006060325938873776
