,carat,depth,table,x,y,z,cut,color,clarity,city,x/y,td,ad,cc,colcut,colcla,ccc
0,0.79,62.7,60.0,5.82,5.89,3.67,1.7320508075688772,2.23606797749979,1.7320508075688772,1.0548122572291756,0.8663478029248877,0.9569377990430622,0.006279466495890614,1.368320137979413,3.872983346207417,3.872983346207417,6.7082039324993685
1,1.2,61.0,57.0,6.81,6.89,4.18,2.23606797749979,1.0,2.23606797749979,1.0401381096245144,0.8692299463942663,0.9344262295081968,0.00611841076605348,2.6832815729997477,2.23606797749979,2.23606797749979,5.000000000000001
2,1.57,62.2,61.0,7.38,7.32,4.57,2.0,1.7320508075688772,1.7320508075688772,1.0561070349589987,1.102918367121585,0.9807073954983923,0.006359398051298972,2.719319767883137,3.4641016151377544,2.9999999999999996,5.999999999999999
3,0.9,63.8,54.0,6.09,6.13,3.9,1.7320508075688772,2.23606797749979,1.7320508075688772,1.0561070349589987,0.9244465741702962,0.8463949843260189,0.006181589125842937,1.5588457268119895,3.872983346207417,3.872983346207417,6.7082039324993685
4,0.5,62.9,58.0,5.05,5.09,3.19,1.7320508075688772,2.23606797749979,2.23606797749979,1.0548122572291756,0.909668485674296,0.9220985691573927,0.006097757665475917,1.118033988749895,3.872983346207417,5.000000000000001,8.660254037844387
5,1.01,61.3,61.0,6.38,6.34,3.9,2.0,2.23606797749979,2.0,1.0,1.078392975017788,0.9951060358890702,0.006402459355793415,2.02,4.47213595499958,4.47213595499958,8.94427190999916
6,1.04,61.0,58.0,6.6,6.54,4.01,2.0,1.7320508075688772,1.7320508075688772,1.0051791109192922,1.115820270175107,0.9508196721311475,0.0060085168415260634,1.8013328398716324,3.4641016151377544,2.9999999999999996,5.999999999999999
7,0.91,63.1,61.0,6.1,6.16,3.87,1.4142135623730951,2.6457513110645907,1.7320508075688772,1.0401381096245144,0.889179566861719,0.9667194928684627,0.006257774080877398,1.5761662348876784,3.7416573867739418,4.58257569495584,6.48074069840786
8,1.13,62.2,55.0,6.69,6.67,4.15,2.23606797749979,1.4142135623730951,2.0,1.0561070349589987,1.0365813867471667,0.8842443729903536,0.006102086997454321,2.26,3.1622776601683795,2.8284271247461903,6.324555320336759
9,1.61,62.9,56.0,7.52,7.46,4.71,2.23606797749979,2.23606797749979,2.0,1.0,1.100900724236911,0.890302066772655,0.006093240230439232,3.22,5.000000000000001,4.47213595499958,10.000000000000002
10,1.06,60.2,59.0,6.62,6.67,4.0,1.7320508075688772,1.4142135623730951,1.7320508075688772,1.0358221838584376,0.9136626388711354,0.9800664451827242,0.006001530956576093,1.8359738560230099,2.4494897427831783,2.4494897427831783,4.242640687119286
11,0.3,62.5,58.0,4.29,4.26,2.67,2.0,2.6457513110645907,2.0,1.0561070349589987,1.0878582683677214,0.928,0.006148130851406686,0.6,5.291502622129181,5.291502622129181,10.583005244258363
12,0.53,62.1,57.0,5.15,5.18,3.21,2.23606797749979,2.6457513110645907,2.6457513110645907,1.0561070349589987,0.9326734875402257,0.9178743961352657,0.006189190473738156,1.4022481948642331,5.916079783099617,7.000000000000001,15.65247584249853
13,0.52,59.7,60.0,5.26,5.19,3.12,2.0,2.6457513110645907,1.7320508075688772,1.0360379801467414,1.174412420500983,1.0050251256281406,0.006105140283913443,0.9006664199358162,5.291502622129181,4.58257569495584,9.16515138991168
14,0.73,61.2,60.0,5.78,5.73,3.52,2.0,2.23606797749979,1.7320508075688772,1.0358221838584376,1.1098865728615885,0.9803921568627451,0.0062617790067562695,1.2643970895252803,4.47213595499958,3.872983346207417,7.745966692414834
15,0.42,62.1,56.0,4.78,4.82,2.98,2.23606797749979,2.6457513110645907,2.23606797749979,1.0699179974104445,0.9048368943978917,0.9017713365539453,0.006117276225083605,0.9391485505499116,5.916079783099617,5.916079783099617,13.228756555322956
16,0.5,61.6,55.0,5.11,5.14,3.16,2.23606797749979,2.0,2.0,1.0401381096245144,0.9321662475376671,0.8928571428571428,0.006024193353280963,1.0,4.47213595499958,4.0,8.94427190999916
17,0.9,62.2,58.0,6.15,6.2,3.84,1.7320508075688772,2.0,1.7320508075688772,1.0401381096245144,0.9074048899562431,0.932475884244373,0.006146734854445318,1.5588457268119895,3.4641016151377544,3.4641016151377544,5.999999999999999
18,1.02,59.7,58.0,6.53,6.57,3.91,1.7320508075688772,1.7320508075688772,1.4142135623730951,1.0401381096245144,0.9293380964313529,0.9715242881072026,0.006080577995421933,1.4424978336205572,2.9999999999999996,2.4494897427831783,4.242640687119286
19,0.31,61.6,56.0,4.34,4.36,2.68,2.23606797749979,2.23606797749979,2.6457513110645907,1.048769961156668,0.9463218829525986,0.9090909090909091,0.006112947712290448,0.8201829064300231,5.000000000000001,5.916079783099617,13.228756555322956
20,0.7,62.6,54.0,5.63,5.71,3.55,2.23606797749979,1.4142135623730951,1.7320508075688772,1.0388433318946915,0.8442429433832759,0.8626198083067093,0.006133737470691141,1.212435565298214,3.1622776601683795,2.4494897427831783,5.477225575051662
21,1.2,61.6,54.0,6.88,6.82,4.22,2.23606797749979,1.0,2.0,1.0561070349589987,1.1108329741742722,0.8766233766233766,0.006060325938873776,2.4,2.23606797749979,2.0,4.47213595499958
22,1.0,65.8,58.0,6.23,6.15,4.07,1.0,2.23606797749979,1.7320508075688772,1.0561070349589987,1.1677642365604328,0.8814589665653496,0.006412722225273609,1.7320508075688772,2.23606797749979,3.872983346207417,3.872983346207417
23,0.3,61.5,57.0,4.32,4.36,2.66,1.7320508075688772,1.7320508075688772,2.449489742783178,1.0360379801467414,0.8952969202475514,0.926829268292683,0.005987828899465788,0.7348469228349533,2.9999999999999996,4.242640687119285,7.348469228349534
24,2.02,62.8,55.0,8.06,8.11,5.08,1.7320508075688772,2.0,1.4142135623730951,1.0548122572291756,0.9284750783582226,0.8757961783439491,0.006083195321090442,2.8567113959936523,3.4641016151377544,2.8284271247461903,4.898979485566357
25,0.5,61.4,57.8,5.09,5.14,3.15,1.7320508075688772,1.0,2.23606797749979,1.0561070349589987,0.8893157013711475,0.9413680781758957,0.00606706362250536,1.118033988749895,1.7320508075688772,2.23606797749979,3.872983346207417
26,0.36,62.3,57.0,4.58,4.54,2.84,2.23606797749979,1.7320508075688772,1.7320508075688772,1.0332326283987916,1.11100369098872,0.9149277688603532,0.006096250859910052,0.6235382907247957,3.872983346207417,2.9999999999999996,6.7082039324993685
27,0.42,62.0,55.0,4.83,4.78,2.98,2.23606797749979,2.0,2.23606797749979,1.0401381096245144,1.1330023474510031,0.8870967741935484,0.00610461105691573,0.9391485505499116,4.47213595499958,4.47213595499958,10.000000000000002
28,0.5,59.9,61.0,5.13,5.16,3.08,1.7320508075688772,2.23606797749979,2.23606797749979,1.0017263703064307,0.9324208189444866,1.018363939899833,0.006132707071099563,1.118033988749895,3.872983346207417,5.000000000000001,8.660254037844387
29,0.4,62.0,55.0,4.74,4.68,2.92,2.0,2.449489742783178,1.7320508075688772,1.0332326283987916,1.165171526618855,0.8870967741935484,0.00617522726071365,0.6928203230275509,4.898979485566356,4.242640687119285,8.48528137423857
30,1.62,59.6,65.0,7.69,7.59,4.55,1.4142135623730951,1.4142135623730951,2.23606797749979,1.0017263703064307,1.1700778737087618,1.0906040268456376,0.006100079600390563,3.62243012354966,2.0000000000000004,3.1622776601683795,4.47213595499958
31,0.3,62.4,59.0,4.28,4.25,2.66,2.0,2.6457513110645907,1.4142135623730951,1.0051791109192922,1.0880730849974174,0.9455128205128205,0.0062002174209575605,0.4242640687119285,5.291502622129181,3.7416573867739418,7.4833147735478835
